,0
TCGA-BH-A0H9-11A-22R-A466-07,-0.14455141
TCGA-BH-A0HA-11A-31R-A12P-07,-0.07096389
TCGA-BH-A0HK-11A-11R-A089-07,-0.07170272
TCGA-BH-A18J-11A-31R-A12D-07,-0.06778693
TCGA-BH-A18K-11A-13R-A12D-07,-0.064495035
TCGA-BH-A18L-11A-42R-A12D-07,-0.06307717
TCGA-BH-A18M-11A-33R-A12D-07,-0.05310253
TCGA-BH-A18N-11A-43R-A12D-07,-0.05660995
TCGA-BH-A18P-11A-43R-A12D-07,-0.091343425
TCGA-BH-A18Q-11A-34R-A12D-07,-0.049741663
TCGA-BH-A18R-11A-42R-A12D-07,-0.064431086
TCGA-BH-A18S-11A-43R-A12D-07,-0.059553992
TCGA-BH-A18U-11A-23R-A12D-07,-0.05086509
TCGA-BH-A18V-11A-52R-A12D-07,-0.060223132
TCGA-BH-A1EN-11A-23R-A13Q-07,-0.0699267
TCGA-BH-A1EO-11A-31R-A137-07,-0.122218914
TCGA-BH-A1ET-11B-23R-A137-07,-0.06561795
TCGA-BH-A1EU-11A-23R-A137-07,-0.07227476
TCGA-BH-A1EV-11A-24R-A137-07,-0.05673281
TCGA-BH-A1EW-11B-33R-A137-07,-0.06494796
TCGA-BH-A1F0-11B-23R-A137-07,-0.06672326
TCGA-BH-A1F2-11A-32R-A13Q-07,-0.06770691
TCGA-BH-A1F6-11B-94R-A13Q-07,-0.065854765
TCGA-BH-A1F8-11B-21R-A13Q-07,-0.061873913
TCGA-BH-A1FB-11A-33R-A13Q-07,-0.0522261
TCGA-BH-A1FC-11A-32R-A13Q-07,-0.058499675
TCGA-BH-A1FD-11B-21R-A13Q-07,-0.0850017
TCGA-BH-A1FE-11B-14R-A13Q-07,-0.079107374
TCGA-BH-A1FG-11B-12R-A13Q-07,-0.11477684
TCGA-BH-A1FH-11B-42R-A13Q-07,-0.06252138
TCGA-BH-A1FJ-11B-42R-A13Q-07,-0.08445662
TCGA-BH-A1FM-11B-23R-A13Q-07,-0.06459882
TCGA-BH-A1FN-11A-34R-A13Q-07,-0.06676561
TCGA-BH-A1FR-11B-42R-A13Q-07,-0.039743766
TCGA-BH-A1FU-11A-23R-A14D-07,-0.050113216
TCGA-BH-A203-11A-42R-A169-07,-0.07065673
TCGA-BH-A204-11A-53R-A157-07,-0.09957965
TCGA-BH-A208-11A-51R-A157-07,-0.06295108
TCGA-BH-A209-11A-42R-A157-07,-0.06255909
TCGA-E2-A153-11A-31R-A12D-07,-0.044580523
TCGA-E2-A158-11A-22R-A12D-07,-0.074705474
TCGA-E2-A15I-11A-32R-A137-07,-0.1121778
TCGA-E2-A15K-11A-13R-A12P-07,-0.054073982
TCGA-E2-A15M-11A-22R-A12D-07,-0.075366296
TCGA-E2-A1BC-11A-32R-A12P-07,-0.14459497
TCGA-E2-A1IG-11A-22R-A144-07,-0.073078126
TCGA-E2-A1L7-11A-33R-A144-07,-0.043513812
TCGA-E2-A1LB-11A-22R-A144-07,-0.06758697
TCGA-E2-A1LH-11A-22R-A14D-07,-0.062207587
TCGA-E2-A1LS-11A-32R-A157-07,-0.14063297
TCGA-E9-A1N4-11A-33R-A14M-07,-0.064583056
TCGA-E9-A1N5-11A-41R-A14D-07,-0.06274026
TCGA-E9-A1N6-11A-32R-A144-07,-0.056874976
TCGA-E9-A1N9-11A-71R-A14D-07,-0.06225307
TCGA-E9-A1NA-11A-33R-A144-07,-0.064187475
TCGA-E9-A1ND-11A-43R-A144-07,-0.0498913
TCGA-E9-A1NF-11A-73R-A14D-07,-0.12354553
TCGA-E9-A1NG-11A-52R-A14M-07,-0.090395756
TCGA-E9-A1R7-11A-42R-A14M-07,-0.09348967
TCGA-E9-A1RB-11A-33R-A157-07,-0.061318275
TCGA-E9-A1RC-11A-33R-A157-07,-0.12894294
TCGA-E9-A1RD-11A-33R-A157-07,-0.08557937
TCGA-E9-A1RF-11A-32R-A157-07,-0.15214254
TCGA-E9-A1RH-11A-34R-A169-07,-0.09929382
TCGA-E9-A1RI-11A-41R-A169-07,-0.14060463
TCGA-GI-A2C8-11A-22R-A16F-07,-0.16767853
TCGA-GI-A2C9-11A-22R-A21T-07,-0.050337728
TCGA-22-4593-11A-01R-1820-07,-0.07574132
TCGA-22-4609-11A-01R-2125-07,-0.06813787
TCGA-22-5471-11A-01R-1635-07,-0.06569276
TCGA-22-5472-11A-11R-1635-07,-0.04716463
TCGA-22-5478-11A-11R-1635-07,-0.0807869
TCGA-22-5481-11A-01R-1949-07,-0.047432553
TCGA-22-5482-11A-01R-1635-07,-0.046278697
TCGA-22-5483-11A-11R-1820-07,-0.0792379
TCGA-22-5489-11A-01R-1635-07,-0.047445107
TCGA-22-5491-11A-01R-1858-07,-0.07448296
TCGA-33-4587-11A-01R-2125-07,-0.04091109
TCGA-33-6737-11A-01R-1820-07,-0.053636547
TCGA-34-7107-11A-01R-1949-07,-0.049859114
TCGA-34-8454-11A-01R-2326-07,-0.044933077
TCGA-39-5040-11A-01R-2125-07,-0.05846498
TCGA-43-3394-11A-01R-1758-07,-0.04542917
TCGA-43-5670-11A-01R-2125-07,-0.024489012
TCGA-43-6143-11A-01R-1820-07,-0.046945956
TCGA-43-6647-11A-01R-1820-07,-0.065887876
TCGA-43-6771-11A-01R-1820-07,-0.07753781
