,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
TCGA-EJ-7321-11A-01R-2263-07,-0.18268672,0.015387685,-0.15566964,0.34459916,0.072064824,-0.5632729,-0.23230611,-0.22806099,-0.387419,0.21248756,-0.016309671,0.3515774,-0.12706369,0.23335871,0.018591309,-0.24634221,0.057522308,-0.14542025,-0.10259984,-0.24148116,0.14816484,0.23111026,0.014797981,0.33391106,-0.1635987,-0.0012960259,0.20117997,0.34946358,0.029346958,-0.041813247,0.12129207,-0.18552826,0.2291561,0.2279568,-0.16440016,-0.1764777,-0.2860974,-0.34166476,-0.21545878,-0.18614133,0.2032182,-0.21138348,0.1306449,-0.29933953,0.38706285,-0.23521279,-0.075386725,0.10408185,-0.15882526,-0.29360563
TCGA-EJ-7327-11A-01R-2118-07,-0.17571332,0.115019344,-0.26318964,0.35986626,0.008874549,-0.5979656,-0.21490623,-0.20308612,-0.18454157,0.16651279,-0.09859416,0.15395033,-0.19003725,0.21916649,-0.041973744,-0.19725205,0.07137138,-0.26172566,-0.06321489,-0.24498037,0.098439775,0.27157202,0.16524428,0.39638925,-0.20536117,0.076427355,0.28852177,0.4054808,0.065699846,-0.018442843,0.19893412,-0.40501773,0.37428024,0.27456024,-0.2636949,-0.27310368,-0.20008866,-0.37111604,-0.14474903,0.06236909,0.27452105,-0.3438183,0.16333674,-0.30720913,0.19357908,-0.036892675,-0.056384277,0.073614344,-0.052617446,-0.22426246
TCGA-EJ-7328-11A-01R-2118-07,-0.15855134,-0.1211786,0.036461737,0.35554412,0.04616036,-0.5735224,-0.30331537,-0.21460448,-0.44933084,0.026853459,0.099105775,0.3135861,-0.26166293,0.3377355,0.12647198,-0.35479254,-0.07772165,-0.15770935,-0.14286979,-0.13100399,0.10665182,0.2387173,-0.24660563,0.14160551,-0.15414806,-0.04111772,0.24540806,0.3252332,0.056650396,-0.012384768,0.06626369,-0.30393162,0.27495727,0.25173727,-0.1225574,-0.16570508,-0.2179447,-0.22816926,-0.16882257,-0.090818815,0.17294697,-0.22627299,0.16080734,-0.27844942,0.3188909,-0.21931879,-0.15492201,0.1104847,-0.22574441,-0.1014171
TCGA-EJ-7330-11A-01R-2118-07,-0.14864974,-0.13270019,-0.054046262,0.33835375,0.034959693,-0.47638026,-0.2885339,-0.19018935,-0.45534137,0.03101913,0.0576828,0.22466202,-0.19324721,0.36214116,0.124475054,-0.30610508,-0.07652406,-0.13009311,-0.09940969,-0.09265354,0.14669451,0.20691043,-0.15336455,0.103731655,-0.10162415,-0.026334075,0.18108515,0.32338881,0.058976665,-0.0058226013,0.070410356,-0.1637011,0.28062263,0.22724377,-0.1642261,-0.19401486,-0.24477762,-0.25247395,-0.19792986,-0.119375214,0.11319551,-0.19895671,0.17660116,-0.26752758,0.38014615,-0.2381017,-0.14842182,0.12447107,-0.20028605,-0.17541121
TCGA-EJ-7331-11A-01R-2118-07,-0.16194735,-0.045079496,-0.04494183,0.3783055,0.06380476,-0.5318573,-0.24012893,-0.24651854,-0.37928057,0.031636845,0.0024272548,0.3037972,-0.19888951,0.2910725,0.13574222,-0.37044543,-0.033528667,-0.21789059,-0.050316174,-0.14168027,0.08943925,0.22003978,-0.14319234,0.18728364,-0.13615704,-0.024115495,0.23367842,0.31153232,0.07806176,0.0063624536,0.09291419,-0.2866561,0.274919,0.2544467,-0.1375182,-0.21090129,-0.16330324,-0.27476203,-0.22389916,-0.08106203,0.18841971,-0.21092537,0.14739004,-0.27479482,0.3029627,-0.16910619,-0.15665367,0.10185794,-0.17540799,-0.1818516
TCGA-EJ-7781-11A-01R-2118-07,-0.10432407,-0.16028677,-0.011663506,0.34077695,0.06827534,-0.51242304,-0.27952754,-0.3014885,-0.43936437,0.07234385,0.07841156,0.3379812,-0.20388113,0.33236197,0.2542536,-0.37165073,-0.02986004,-0.13729843,-0.06355348,-0.08541012,0.09551805,0.2500721,-0.3008384,0.038445182,-0.12099304,-0.01022383,0.24012141,0.28484997,0.10968393,-0.098995626,0.11143928,-0.28839478,0.26182088,0.2075213,-0.13928477,-0.18034641,-0.19755095,-0.22585711,-0.20550725,-0.043154668,0.18196017,-0.15104517,0.14970195,-0.23930553,0.31945968,-0.20944047,-0.1201353,0.04551099,-0.20716663,-0.16587126
TCGA-EJ-7782-11A-01R-2118-07,-0.09870611,-0.034784567,-0.2439162,0.32915083,-0.010812027,-0.52388287,-0.2197329,-0.23426262,-0.32260698,0.20645164,-0.0415706,0.05370242,-0.14645705,0.2950743,0.013488067,-0.2179112,-0.02481745,-0.20292245,-0.0750109,-0.12540969,0.13745916,0.17093098,0.07541072,0.13930637,-0.102584705,0.08856377,0.1732396,0.30367386,0.073472366,0.0031713056,0.0947367,-0.051060177,0.2537738,0.17786105,-0.2397883,-0.19645524,-0.25938734,-0.31395397,-0.07928699,-0.17527476,0.103959575,-0.2210686,0.1530222,-0.36005464,0.30622935,-0.1764824,-0.09846276,0.10880383,-0.11115097,-0.3171742
TCGA-EJ-7783-11A-01R-2118-07,-0.10159827,-0.22457288,0.17980354,0.38731253,-0.1079894,-0.46745652,-0.2874727,-0.12995398,-0.21125865,-0.058692105,0.2521259,0.14567675,-0.1906513,0.4340679,0.15078914,-0.32216585,-0.16451359,-0.15114613,-0.211058,-0.040380646,0.17389017,0.24117939,-0.29991916,-0.054270614,-0.20205764,-0.044464383,0.25063226,0.37134328,0.10003615,0.08331165,0.03964171,-0.32726768,0.30149835,0.24039303,-0.14394492,-0.23187964,-0.21234275,-0.12985227,-0.18449229,0.05278933,0.1676064,-0.23769847,0.2400161,-0.23169094,0.23339951,-0.22170414,-0.19025709,0.15627606,-0.32531935,0.033371467
TCGA-EJ-7784-11A-01R-2118-07,-0.096999235,-0.010274528,-0.16132839,0.3777256,0.059979435,-0.53743064,-0.25985536,-0.22419989,-0.43883693,0.18634501,-0.10797043,0.2478242,-0.22180365,0.28195938,0.06335343,-0.26698208,0.028325958,-0.13251643,-0.0064626173,-0.21594658,0.043423392,0.22837456,0.0034523872,0.2577542,-0.16834335,0.024077877,0.22302239,0.28455523,0.07777953,-0.06249144,0.14607842,-0.22224014,0.27345794,0.19204064,-0.16273735,-0.2375155,-0.23136723,-0.29577237,-0.15365173,-0.07256328,0.17741296,-0.16310059,0.08810414,-0.29601112,0.2914099,-0.20939776,-0.06864787,0.06718239,-0.15743731,-0.32388145
TCGA-EJ-7785-11A-01R-2118-07,-0.18189076,-0.025891233,-0.15356775,0.38593528,0.033863932,-0.5730415,-0.2746153,-0.23091322,-0.3472258,0.08872653,0.04758713,0.20508489,-0.16503632,0.34842822,0.11610998,-0.26644716,-0.026960993,-0.20247872,-0.1596987,-0.13436548,0.15442857,0.22140816,-0.06383603,0.16709699,-0.14839181,0.031428065,0.18678625,0.3485174,0.04915695,0.035946228,0.07329311,-0.26708066,0.2926023,0.25911272,-0.13102227,-0.20846204,-0.23286954,-0.2935534,-0.19490443,-0.038159043,0.15373103,-0.2246858,0.15469934,-0.33005184,0.30403224,-0.15638833,-0.121874824,0.080077335,-0.20248426,-0.2594123
TCGA-EJ-7786-11A-01R-2118-07,-0.09944839,-0.1088728,-0.03657799,0.34267986,0.14760025,-0.46803948,-0.3000724,-0.24914221,-0.45285776,0.07306925,0.008842299,0.39065132,-0.18964848,0.24892649,0.22893968,-0.332082,0.008571662,-0.19097394,-0.052384216,-0.11334854,0.050071876,0.2573985,-0.24037986,0.1263145,-0.12331899,-0.054813597,0.20150991,0.33626938,0.08974321,-0.08205371,0.1245064,-0.24876393,0.26119965,0.2226535,-0.15077086,-0.23587148,-0.17599027,-0.24257252,-0.17086186,-0.105257146,0.20977741,-0.18898219,0.120532736,-0.27012172,0.319216,-0.22716211,-0.106877804,0.07754877,-0.19919927,-0.19692586
TCGA-EJ-7789-11A-01R-2118-07,-0.15688474,0.00033526818,-0.20547423,0.34476268,0.019009147,-0.56854314,-0.21138312,-0.22880961,-0.35848805,0.15876229,-0.052986827,0.21716987,-0.15834248,0.27400282,-0.0075520715,-0.20736346,-0.010450406,-0.23462133,-0.10279904,-0.19346267,0.14623472,0.2068464,0.079123914,0.20480472,-0.10682847,0.052354462,0.14578322,0.33106595,0.08882946,-0.024858847,0.13548264,-0.19288984,0.27834988,0.212584,-0.18041906,-0.2399006,-0.21644787,-0.3315032,-0.15445438,-0.10092605,0.20492463,-0.23914467,0.116088144,-0.3298977,0.27018145,-0.17391214,-0.098913886,0.07586372,-0.14769308,-0.3033989
TCGA-EJ-7792-11A-01R-2118-07,-0.15539238,-0.053264532,-0.13092658,0.320775,0.057114005,-0.49654582,-0.25547436,-0.27007252,-0.42766312,0.105303735,-0.03520076,0.3045824,-0.15297967,0.30393437,0.1106362,-0.23186158,0.021723704,-0.17396495,-0.10484732,-0.14370565,0.14116807,0.25061238,-0.06446954,0.1560852,-0.15785465,0.028785508,0.19725157,0.33384764,0.06292593,-0.033508606,0.11977942,-0.18461859,0.23319288,0.23201998,-0.16490312,-0.17428647,-0.23558475,-0.32297936,-0.178238,-0.1335163,0.1856955,-0.22767723,0.09714574,-0.28692687,0.3236524,-0.20586517,-0.107175454,0.07902644,-0.16274574,-0.27045232
TCGA-EJ-7793-11A-01R-2263-07,-0.16040675,0.008252445,-0.14182329,0.38851926,0.0766601,-0.56686914,-0.26872075,-0.23244533,-0.32856238,0.094989024,0.001111773,0.2740676,-0.19899389,0.2641291,0.08014104,-0.29315048,3.639215e-05,-0.20876788,-0.14915286,-0.1688934,0.12865406,0.22600259,-0.08437019,0.21706107,-0.14341654,0.0133337835,0.24337499,0.37125054,0.033113122,-0.0045231804,0.097029395,-0.26167536,0.2630287,0.20538583,-0.19194064,-0.25871286,-0.24761781,-0.29918194,-0.1481548,-0.10074771,0.20578037,-0.27905446,0.14918998,-0.33032778,0.3014876,-0.17034414,-0.09821678,0.042660885,-0.16803344,-0.20857249
TCGA-EJ-7794-11A-01R-2118-07,-0.044995848,-0.13665117,-0.119364165,0.2826369,0.09907763,-0.42022276,-0.26873645,-0.19101647,-0.5127878,0.16145723,-0.084259644,0.33078897,-0.17356007,0.21530399,0.11167945,-0.267248,0.012499189,-0.14620338,0.00992128,-0.16560578,0.08035966,0.17852536,-0.13213095,0.15336859,-0.10352496,-0.057145767,0.1801966,0.24238458,0.11923886,-0.16106634,0.11453121,-0.14822665,0.2733215,0.1791652,-0.11144804,-0.19582997,-0.2603697,-0.24495082,-0.18885048,-0.11665876,0.1887591,-0.14154477,0.06436786,-0.31937826,0.34289548,-0.2565133,-0.12802155,0.03829576,-0.17328836,-0.29647958
TCGA-EJ-7797-11A-01R-2263-07,-0.16054454,-0.026833069,-0.18550818,0.38684157,0.0087758135,-0.5632026,-0.23643695,-0.22626488,-0.2686763,0.10363476,0.0723372,0.2013439,-0.18412535,0.37102622,0.03431067,-0.22695042,-0.052730177,-0.19733043,-0.25532869,-0.1003285,0.15989842,0.24841955,-0.037610687,0.17115194,-0.14659023,0.028133215,0.22188205,0.43192273,0.042832475,0.097115025,0.055027917,-0.24701735,0.24004243,0.19694705,-0.14697917,-0.1981545,-0.31214076,-0.3653952,-0.19105376,-0.089495964,0.1755635,-0.21013002,0.16560394,-0.3369744,0.31136265,-0.15274338,-0.099996135,0.12500393,-0.16839854,-0.26219139
TCGA-EJ-A8FO-11A-11R-A36G-07,-0.119493924,-0.090498656,0.06920373,0.28877512,-0.049670815,-0.53943986,-0.31462172,-0.102623105,-0.34645715,0.12456451,0.13555934,0.3080625,-0.12452356,0.33864745,-0.067001104,-0.26849508,-0.079152904,-0.095279574,-0.20576864,-0.16540566,0.14559202,0.25862956,-0.10259521,0.21079767,-0.18857981,-0.047682874,0.17991671,0.37594372,0.00046399146,0.058752626,0.03760391,-0.30136368,0.23175858,0.24167779,-0.11683739,-0.19047168,-0.3346867,-0.18267208,-0.22661845,-0.0005925601,0.1930285,-0.24714257,0.16605763,-0.23971137,0.3455025,-0.29433265,-0.16562739,0.1897923,-0.27076674,-0.21153189
TCGA-G9-6333-11A-01R-1965-07,-0.106035404,-0.060034513,-0.14563341,0.33658767,-0.051679075,-0.5829002,-0.21037039,-0.02444361,-0.35152635,0.1140814,0.04084932,0.16738482,-0.1451043,0.30497184,-0.14889236,-0.09596009,-0.037724234,-0.12936434,-0.20168687,-0.1774419,0.17237082,0.21295008,0.10463038,0.31222942,-0.14682902,-0.07175797,0.21431579,0.47425193,0.042773593,0.12934396,0.043074504,-0.22136384,0.32864016,0.2712906,-0.15095778,-0.20589091,-0.31649765,-0.31119862,-0.26282847,-0.1169502,0.20664798,-0.23373026,0.15229024,-0.29514855,0.26549435,-0.22650172,-0.12237261,0.1664397,-0.21681608,-0.262051
TCGA-G9-6342-11A-02R-1965-07,-0.19812691,0.023239879,-0.18985564,0.3996027,-0.026780346,-0.63912225,-0.16785032,-0.037644845,-0.2819229,0.09505386,0.004205608,0.060999576,-0.16361706,0.30899194,-0.22636713,-0.13893878,0.014530571,-0.25954157,-0.10261183,-0.21812294,0.14888668,0.24291703,0.20324616,0.34410232,-0.13938943,0.0419332,0.20591903,0.4234401,0.09212607,0.13451123,0.09871877,-0.24296401,0.27810517,0.28004903,-0.20174396,-0.266651,-0.2914698,-0.37241784,-0.16553093,-0.05932191,0.22348945,-0.34166396,0.13254452,-0.35734937,0.23754235,-0.160162,-0.03479814,0.1967084,-0.14373362,-0.2186252
TCGA-G9-6348-11A-01R-1789-07,-0.23414889,-0.028626597,-0.03484112,0.35698855,-0.026747355,-0.5791906,-0.22273692,-0.06880818,-0.24659833,0.019470891,0.17592472,0.280322,-0.12224451,0.39674288,-0.016854413,-0.24506192,-0.034303747,-0.15753503,-0.32803023,-0.16962193,0.22350243,0.23094727,-0.019094888,0.26174328,-0.19625184,-0.01724348,0.21684688,0.5080893,0.015064202,0.23248978,0.035149302,-0.2761082,0.28200838,0.27757484,-0.13042048,-0.19697367,-0.34180897,-0.25689578,-0.25417393,-0.119436495,0.18600956,-0.30388284,0.16938393,-0.32711115,0.30819497,-0.29704335,-0.14782,0.18744545,-0.30245745,-0.17409441
