,0
TCGA-EJ-8469-01A-11R-2403-07,-0.066478916
TCGA-EJ-8470-01A-11R-2403-07,-0.029131044
TCGA-EJ-8472-01A-11R-2403-07,-0.05269423
TCGA-EJ-8474-01A-11R-2403-07,-0.04639495
TCGA-EJ-A46B-01A-31R-A250-07,-0.046117622
TCGA-EJ-A46D-01A-21R-A32Y-07,-0.02105212
TCGA-EJ-A46E-01A-31R-A250-07,-0.01806267
TCGA-EJ-A46F-01A-31R-A250-07,-0.09733094
TCGA-EJ-A46G-01A-31R-A26U-07,-0.024259062
TCGA-EJ-A46H-01A-31R-A26U-07,0.007669357
TCGA-EJ-A46I-01A-12R-A26U-07,-0.02786401
TCGA-EJ-A65B-01A-12R-A30B-07,-0.027911471
TCGA-EJ-A65D-01A-11R-A30B-07,-0.114773475
TCGA-EJ-A65E-01A-11R-A29R-07,-0.053162403
TCGA-EJ-A65F-01A-21R-A311-07,-0.051280648
TCGA-EJ-A65G-01A-21R-A29R-07,-0.078781486
TCGA-EJ-A65J-01A-11R-A311-07,-0.09605665
TCGA-EJ-A65M-01A-11R-A29R-07,-0.046148144
TCGA-EJ-A6RA-01A-11R-A33R-07,-0.02800715
TCGA-EJ-A6RC-01A-11R-A32O-07,-0.005619178
TCGA-EJ-A7NF-01A-11R-A33R-07,-0.06957997
TCGA-EJ-A7NG-01A-31R-A33R-07,-0.010676373
TCGA-EJ-A7NH-01A-12R-A33R-07,-0.013430829
TCGA-EJ-A7NJ-01A-22R-A352-07,-0.030804895
TCGA-EJ-A7NK-01A-12R-A352-07,-0.009038692
TCGA-EJ-A7NM-01A-21R-A33R-07,-0.025666358
TCGA-EJ-A7NN-01A-11R-A33R-07,-0.020333014
TCGA-EJ-A8FN-01A-11R-A352-07,-0.034893364
TCGA-EJ-A8FO-01A-21R-A36G-07,-0.037880383
TCGA-EJ-A8FP-01A-21R-A36G-07,-0.013377734
TCGA-EJ-A8FS-01A-11R-A352-07,-0.08874288
TCGA-EJ-A8FU-01A-11R-A36G-07,-0.009464469
TCGA-EJ-AB20-01A-12R-A41O-07,-0.016673043
TCGA-EJ-AB27-01A-11R-A41O-07,-0.023657102
TCGA-FC-7708-01A-11R-2118-07,-0.022027215
TCGA-FC-7961-01A-11R-A29R-07,-0.03436247
TCGA-FC-A4JI-01A-11R-A250-07,-0.15134214
TCGA-FC-A5OB-01A-11R-A29R-07,-0.1483691
TCGA-FC-A66V-01A-21R-A30B-07,-0.03007709
TCGA-FC-A6HD-01A-11R-A31N-07,-0.1188265
TCGA-FC-A8O0-01A-41R-A37L-07,-0.027934967
TCGA-G9-6329-01A-13R-1965-07,-0.021280423
TCGA-G9-6332-01A-11R-1789-07,-0.1121575
TCGA-G9-6333-01A-12R-1965-07,-0.047413867
TCGA-G9-6336-01A-11R-1789-07,-0.05043699
TCGA-G9-6338-01A-12R-1965-07,-0.042245567
TCGA-G9-6339-01A-12R-A311-07,-0.06253893
TCGA-G9-6342-01A-11R-1965-07,-0.054326937
TCGA-G9-6343-01A-21R-1965-07,-0.07080937
TCGA-G9-6347-01A-11R-A31N-07,-0.023173155
TCGA-G9-6348-01A-11R-1789-07,-0.043534636
TCGA-G9-6351-01A-21R-1965-07,-0.06387841
TCGA-G9-6353-01A-11R-1965-07,-0.033536877
